Group,wallet_address,token_name,token_address,amount,denom
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,ntrn,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682,2,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,atom,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,axl,ibc/903A61A498756EA560B85A85132D3AEE21B5DEDD41213725D22ABF276EA6945E,1,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,stars,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,42,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,somm,ibc/9BBA9A1C257E971E38C1422780CE6F0B0686F0A3085E2D61118D904BFE0F5F5E,36,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,"paxg,grv",ibc/A5CCD24BA902843B1003A7EEE5F937C632808B9CF4925601241B15C5A0A51A53,10719730449,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,wbtc.axl,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,155,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,489332295,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,tia,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,69,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,eth,ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,28140994321,
3,osmo1n7vr92emc0dhutrleqddlkpsgdwhz9sw87t0v3,osmo,uosmo,1626707,
3,osmo1ka4sczlphz4a2skqh50zujffcyy274dphtngds,wbtc,factory/osmo1z0qrq605sjgcqpylfl4aa6s90x738j7m58wyatt0tdzflg2ha26q67k743/wbtc,397,
3,osmo1ka4sczlphz4a2skqh50zujffcyy274dphtngds,orai,ibc/161D7D62BAB3B9C39003334F1671208F43C06B643CC9EDBBE82B64793C857F1D,15024,
3,osmo1ka4sczlphz4a2skqh50zujffcyy274dphtngds,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,1885422,
3,osmo1ka4sczlphz4a2skqh50zujffcyy274dphtngds,osmo,uosmo,934768,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,wbtc,factory/osmo1z0qrq605sjgcqpylfl4aa6s90x738j7m58wyatt0tdzflg2ha26q67k743/wbtc,4478,
3,osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,usdc,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,70,
